genre,playlist_name,track_artist,track_name,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
latin,Tropical Vibes,Basixx,Hands On Your Body,1,0.733,0.773,11,-5.578,0,0.0926,0.0689,5.88e-05,0.105,0.566,124.971,190500
latin,Punto Tropical,Shelow Shaq,Contento,1,0.54,0.85,5,-2.46,0,0.0496,0.0145,0.000713,0.0925,0.333,100.103,218406
latin,TROPICAL🌴,Luis Felipe Gonzalez,La Sirena,1,0.765,0.858,7,-5.881,1,0.034,0.313,0.000191,0.0396,0.961,100.358,165591
latin,Tropical Nights,Relax Meditate Sleep,Borneo Jungle Oasis For Deep Sleep With Nature Sound,1,0.418,0.499,6,-20.217,0,0.345,0.39,0.464,0.248,0.0718,140.79,360098
latin,Tropical Beats,Hot Shade,My Body,1,0.659,0.844,6,-4.104,0,0.262,0.123,0.0,0.0799,0.873,103.992,161427
latin,Tropical Beats,Perttu,Waves,1,0.661,0.86,7,-5.537,1,0.0582,0.0443,0.111,0.14,0.181,100.013,199286
latin,Tropical Beats,Cheat Codes,Sex (Cheat Codes X Kris Kross Amsterdam),1,0.51,0.692,0,-5.825,1,0.171,0.00451,0.0,0.138,0.209,102.42,228361
latin,Tropical House Remixes 🍍 Tropical Remixes & Tropical Covers,Maroon 5,Animals - Gryffin Remix,1,0.553,0.835,4,-6.141,0,0.0356,0.0198,0.000581,0.0757,0.528,100.984,319160
latin,Tropical Morning,Autograf,Dream - Boehm Remix,1,0.74,0.666,5,-7.27,1,0.0298,0.0252,0.198,0.0611,0.749,114.997,288000
latin,EDM TROPICAL,Lauv,The Other - DallasK Remix,1,0.592,0.688,7,-3.434,1,0.047,0.157,0.0,0.108,0.351,104.075,222115
latin,EDM TROPICAL,Lauv,I Like Me Better - Ryan Riback Remix,1,0.61,0.579,9,-8.184,1,0.0662,0.0524,2.3e-06,0.0829,0.203,98.02,210492
latin,Tropical House Run 190 BPM,HAKUNA,Layers,1,0.658,0.744,6,-4.422,0,0.152,0.0918,0.000153,0.0839,0.39,192.08,177083
latin,MIX LATIN POP°,Fanny Lu,No Te Pido Flores,1,0.731,0.881,1,-3.619,1,0.0624,0.398,0.0,0.0965,0.878,103.958,241500
latin,MIX LATIN POP°,Fuego,Una Vaina Loca,1,0.794,0.882,1,-5.589,1,0.0361,0.114,7.98e-05,0.062,0.642,117.009,188213
latin,MIX LATIN POP°,Juan Magán,Verano Azul,1,0.887,0.87,2,-5.267,1,0.119,0.0145,0.0,0.015,0.838,126.047,190560
latin,MIX LATIN POP°,Efecto Pasillo,Pan y Mantequilla,1,0.69,0.812,10,-5.219,1,0.0418,0.0355,0.0,0.0871,0.899,100.016,200907
latin,This Is Gloria Estefan,Gloria Estefan,Rhythm Is Gonna Get You,1,0.777,0.745,4,-12.793,0,0.0396,0.236,0.0412,0.232,0.861,124.961,237267
latin,Unplugged Hits 📣,Imagine Dragons,I Bet My Life - Live From Spotify London,1,0.496,0.545,7,-7.835,1,0.0444,0.534,5e-05,0.693,0.356,117.266,228341
latin,Fiesta Latina Mix 🎈🎉💃🏻🕺🏻☀️🏖,Plan B,Candy,1,0.897,0.864,11,-3.735,0,0.147,0.252,0.0,0.517,0.542,95.981,207627
latin,Exitos 2020 - Latin Billboard,Leonel García,Bailar,1,0.51,0.292,7,-8.768,1,0.186,0.89,0.0,0.114,0.4,168.104,256366
latin,Reggaeton Classics,Eddy Lover,Perdóname,1,0.679,0.818,9,-5.67,0,0.0315,0.244,0.0,0.158,0.392,95.013,243027
latin,Reggaeton Classics,"Héctor ""El Father""",Noche de Travesura,1,0.833,0.626,9,-7.715,1,0.188,0.447,0.0,0.0805,0.409,92.013,212733
latin,El Ritmo,Sech,Lo Malo,1,0.505,0.516,4,-6.807,0,0.183,0.209,4.52e-05,0.298,0.64,91.918,188205
latin,Reggaeton Rewind,Pitbull,Como Yo Le Doy - Remix,1,0.766,0.863,7,-3.83,1,0.0801,0.162,0.0,0.316,0.818,97.966,262250
latin,REGGAETON ANTIGUO 🔥,Daddy Yankee,Rompe,1,0.754,0.805,11,-5.974,0,0.0416,0.0471,1.6e-05,0.0715,0.475,88.032,186853
latin,REGGAETON ANTIGUO 🔥,Don Omar,Taboo,1,0.442,0.884,5,-5.782,1,0.0641,0.0458,0.0,0.0827,0.813,125.031,292160
latin,REGGAETON ANTIGUO 🔥,Daddy Yankee,Llamado De Emergencia,1,0.698,0.91,4,-4.407,0,0.0351,0.211,3.46e-06,0.156,0.772,97.985,239920
latin,REGGAETON ANTIGUO 🔥,Chino & Nacho,Niña Bonita,1,0.674,0.924,9,-4.879,1,0.114,0.287,0.0,0.256,0.644,120.069,217480
latin,REGGAETON VIEJO,Wisin & Yandel,Abusadora,1,0.775,0.786,1,-4.59,0,0.0503,0.0419,0.000413,0.0875,0.19,114.996,180387
latin,REGGAETON VIEJO,Tony Dize,Quizas,1,0.771,0.671,9,-5.731,1,0.074,0.322,0.0,0.0444,0.909,89.999,186373
latin,REGGAETON VIEJO,Nova,Bien Loco,1,0.721,0.82,10,-4.568,1,0.344,0.41,0.0,0.111,0.751,169.951,217836
latin,REGGAETON VIEJO,Angel Y Khriz,Ven Bailalo,1,0.676,0.917,11,-6.082,0,0.0369,0.0575,0.0076,0.112,0.72,97.011,252867
latin,REGGAETON VIEJO,Arcangel,Pa'que La Pases Bien,1,0.862,0.762,4,-5.715,1,0.196,0.0071,0.000587,0.307,0.528,110.0,210640
latin,REGGAETON VIEJO,J Alvarez,"Sexo, Sudor y Calor (feat. Ñejo & Dalmata)",1,0.743,0.893,0,-4.713,1,0.0533,0.185,0.0,0.0941,0.96,167.922,250227
latin,REGGAETON VIEJO,Daddy Yankee,Gasolina,1,0.855,0.794,0,-6.498,1,0.0557,0.335,4.38e-06,0.0711,0.751,96.013,192573
latin,REGGAETON VIEJO,Don Omar,En Su Nota,1,0.657,0.843,6,-5.927,0,0.272,0.00498,2.5e-05,0.156,0.883,192.043,219333
latin,Reggaeton viejito🔥,Wisin & Yandel,Noche De Sexo,1,0.686,0.722,2,-5.4,1,0.256,0.108,0.0,0.494,0.515,94.006,205707
latin,Reggaeton viejito🔥,N.O.R.E.,Oye Mi Canto,1,0.677,0.946,6,-2.887,1,0.0553,0.185,3.56e-06,0.274,0.948,96.011,240973
latin,Reggaeton viejito🔥,Don Omar,Pobre Diabla,1,0.741,0.748,9,-7.006,0,0.0568,0.423,0.0109,0.0849,0.85,92.052,252480
latin,Reggaeton viejito🔥,Wisin & Yandel,Nadie Como Tu,1,0.809,0.719,4,-5.185,0,0.192,0.405,0.0,0.126,0.729,92.992,222867
latin,Reggaeton viejito🔥,Pitbull,Maldito Alcohol,1,0.918,0.434,1,-10.715,1,0.224,0.524,0.00011,0.0634,0.934,126.981,201320
latin,Reggaeton viejito🔥,Wisin & Yandel,Mírala Bien,1,0.806,0.847,6,-4.371,0,0.15,0.272,0.0,0.134,0.675,95.998,159040
latin,Reggaeton viejito🔥,Cosculluela,Prrrum,1,0.843,0.727,5,-4.172,0,0.228,0.096,0.0,0.341,0.685,90.0,237547
latin,This Is: Don Omar,Wisin,Vacaciones - Remix,1,0.702,0.93,6,-4.13,0,0.0674,0.0758,6.36e-05,0.368,0.585,96.027,258680
latin,Latin Village 2019,Igor Neves,Ja Te Falei 2015 Rework,1,0.854,0.974,11,-3.361,0,0.0734,0.0363,0.104,0.0758,0.467,128.0,318750
latin,Latin Village 2019,Faya,Sonidos,1,0.8,0.989,4,-3.713,0,0.0575,7.86e-05,0.681,0.0918,0.0667,125.988,341244
latin,Latin Village 2019,Smashing Sebastian,No Cha Cha - D-Rashid Remix,1,0.793,0.948,11,-4.578,0,0.0656,0.000397,0.852,0.0971,0.5,127.996,348875
latin,Latin Village 2019,D.Polo,Into You - Original Mix,1,0.73,0.881,9,-5.997,0,0.059,0.00683,0.804,0.451,0.531,126.956,328819
latin,Latin Village 2019,Santos Suarez,The Drums,1,0.846,0.929,8,-4.38,1,0.0647,0.00031,0.89,0.0579,0.393,127.999,352505
latin,Latin/Hip Hop/Dancehall/Soca,Plan B,Candy,1,0.897,0.864,11,-3.735,0,0.147,0.252,0.0,0.517,0.542,95.981,207627
latin,Latin/Hip Hop/Dancehall/Soca,Don Omar,En Su Nota,1,0.657,0.843,6,-5.927,0,0.272,0.00498,2.5e-05,0.156,0.883,192.043,219333
latin,Latin/Hip Hop/Dancehall/Soca,Don Omar,Virtual Diva,1,0.76,0.941,8,-1.311,0,0.0667,0.19,0.0,0.696,0.653,114.018,239293
latin,Latin/Hip Hop/Dancehall/Soca,Don Omar,Taboo,1,0.442,0.884,5,-5.782,1,0.0641,0.0458,0.0,0.0827,0.813,125.031,292160
latin,80's Freestyle/Disco Dance Party (Set Crossfade to 4-Seconds),Information Society,What's On Your Mind - Pure Energy,1,0.766,0.734,0,-11.217,1,0.056,0.00665,0.0238,0.209,0.753,118.221,275533
latin,VidaLoca - Latin / Raggaeton / Hip Hop ©,J Balvin,Bonita - Remix,1,0.798,0.905,5,-0.582,0,0.0375,0.0127,2.41e-05,0.126,0.59,96.005,322907
latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,Ronnie Flex,Haal Me Naar Boven,1,0.651,0.646,11,-6.803,1,0.0333,0.324,0.0,0.0758,0.835,134.944,169500
latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,Jonna Fraser,PARANOIA,1,0.779,0.471,1,-8.735,0,0.115,0.237,0.0722,0.102,0.349,94.985,177994
latin,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,Yung Felix,Shaka Zulu,1,0.93,0.754,6,-4.738,0,0.0596,0.0811,0.435,0.0619,0.604,125.015,155553
latin,LATIN FLOW MIX - Música Cristiana🎵,Gerstronik,Desierto - Basslovd Remix,1,0.824,0.845,4,-4.091,0,0.0778,0.0153,0.506,0.0819,0.849,105.023,175381
latin,"Hot Latino Mix (Latin, Hip Hop, Rap, RnB, Dancehall, Reggeaton, Afro)",Afrojack,Wave Your Flag,1,0.72,0.823,9,-2.735,1,0.0688,0.0588,2.37e-06,0.0949,0.632,104.976,193240
latin,"Hot Latino Mix (Latin, Hip Hop, Rap, RnB, Dancehall, Reggeaton, Afro)",Don Omar,Te Quiero Pa´Mi,1,0.762,0.81,1,-4.024,1,0.0664,0.13,1.73e-05,0.178,0.571,88.994,212027
latin,"Hot Latino Mix (Latin, Hip Hop, Rap, RnB, Dancehall, Reggeaton, Afro)",J Balvin,Yo Te Lo Dije,1,0.73,0.613,6,-5.83,1,0.0767,0.0914,0.0,0.167,0.959,87.935,220853
latin,"Hot Latino Mix (Latin, Hip Hop, Rap, RnB, Dancehall, Reggeaton, Afro)",Juan Magán,Vuelve,1,0.655,0.672,5,-6.625,1,0.0374,0.627,0.0,0.0856,0.934,174.094,213506
latin,"Hot Latino Mix (Latin, Hip Hop, Rap, RnB, Dancehall, Reggeaton, Afro)",Lil Jon,Outta Your Mind,1,0.88,0.986,10,-1.588,0,0.276,0.233,0.0,0.0553,0.655,99.965,252640
latin,"Hot Latino Mix (Latin, Hip Hop, Rap, RnB, Dancehall, Reggeaton, Afro)",Meek Mill,Coco Pt. 2 (feat. Jeezy & O.T. Genasis),1,0.849,0.587,8,-7.062,1,0.304,0.046,0.0,0.166,0.205,120.131,247494
latin,"Hot Latino Mix (Latin, Hip Hop, Rap, RnB, Dancehall, Reggeaton, Afro)",The Pussycat Dolls,Don't Cha,1,0.879,0.578,3,-5.305,0,0.107,0.00578,2.2e-06,0.231,0.575,120.001,271766
latin,HIP-HOP: Latin Rap ['89-present],Don Omar,Los Bandoleros (feat. Tego Calderon),1,0.592,0.878,5,-4.813,0,0.381,0.41,0.0,0.322,0.77,85.636,304014
latin,Los Cangri,Izi,Fumo Da Solo,1,0.724,0.605,7,-8.14,0,0.0544,0.0626,0.0,0.108,0.52,140.091,221571
